#Duplication rate	Coverage
1.0	2.24010409E8
2.0	4.1699642E7
3.0	7122197.0
4.0	1453749.0
5.0	322077.0
6.0	119478.0
7.0	57570.0
8.0	39202.0
9.0	28855.0
10.0	23713.0
11.0	19490.0
12.0	16348.0
13.0	13799.0
14.0	11805.0
15.0	9838.0
16.0	8230.0
17.0	6752.0
18.0	5542.0
19.0	4569.0
20.0	3893.0
21.0	3148.0
22.0	2730.0
23.0	2357.0
24.0	2056.0
25.0	1726.0
26.0	1565.0
27.0	1394.0
28.0	1223.0
29.0	1091.0
30.0	921.0
31.0	871.0
32.0	774.0
33.0	672.0
34.0	607.0
35.0	484.0
36.0	428.0
37.0	395.0
38.0	349.0
39.0	288.0
40.0	241.0
41.0	214.0
42.0	192.0
43.0	168.0
44.0	141.0
45.0	117.0
46.0	117.0
47.0	92.0
48.0	108.0
49.0	92.0
50.0	1886.0
