#Coverage (X)	Coverage
1.0	97.91766157523996
2.0	97.15744410310371
3.0	96.52908646345129
4.0	95.96403123409839
5.0	95.3838116361741
6.0	94.7439595862523
7.0	93.98573785731509
8.0	93.05006701537653
9.0	91.87600745620509
10.0	90.41099838632294
11.0	88.61471177685674
12.0	86.47359739731613
13.0	83.99345812077159
14.0	81.21168903135484
15.0	78.18513227412672
16.0	74.9866197127078
17.0	71.68935125338453
18.0	68.36761757426181
19.0	65.08327944338515
20.0	61.88457355256253
21.0	58.80408366734292
22.0	55.85462651129795
23.0	53.03661700264108
24.0	50.34165353744804
25.0	47.75054653510788
26.0	45.241156659015545
27.0	42.79636644435098
28.0	40.398244421322765
29.0	38.03507056852756
30.0	35.69905539727772
31.0	33.39154396247778
32.0	31.11722913041909
33.0	28.884931187722316
34.0	26.70540464327391
35.0	24.591629846731905
36.0	22.558865124035933
37.0	20.62108660792903
38.0	18.787019544730157
39.0	17.066282703985323
40.0	15.464899567777834
41.0	13.986754257390118
42.0	12.631809334265995
43.0	11.398423741693179
44.0	10.282292716098993
45.0	9.277963893870677
46.0	8.37845024000191
47.0	7.575938750678844
48.0	6.862364511141493
49.0	6.228452454291386
50.0	5.665900038830159
51.0	5.1664965665290765
