#Insert size (bp)	insert size
2.0	1021.0
3.0	915.0
4.0	967.0
5.0	716.0
6.0	626.0
7.0	613.0
8.0	540.0
9.0	584.0
10.0	556.0
11.0	550.0
12.0	585.0
13.0	549.0
14.0	552.0
15.0	557.0
16.0	607.0
17.0	561.0
18.0	575.0
19.0	18178.0
20.0	11616.0
21.0	6575.0
22.0	4022.0
23.0	2767.0
24.0	2130.0
25.0	1781.0
26.0	1922.0
27.0	1625.0
28.0	1510.0
29.0	1718.0
30.0	1768.0
31.0	1660.0
32.0	1720.0
33.0	1698.0
34.0	1662.0
35.0	1700.0
36.0	1702.0
37.0	1780.0
38.0	1807.0
39.0	1822.0
40.0	1930.0
41.0	1900.0
42.0	1981.0
43.0	2008.0
44.0	2164.0
45.0	2189.0
46.0	2152.0
47.0	2280.0
48.0	2313.0
49.0	2458.0
50.0	2467.0
51.0	2589.0
52.0	2736.0
53.0	2731.0
54.0	2997.0
55.0	3067.0
56.0	3243.0
57.0	3177.0
58.0	3389.0
59.0	3659.0
60.0	3558.0
61.0	3667.0
62.0	3920.0
63.0	3965.0
64.0	4057.0
65.0	4243.0
66.0	4387.0
67.0	4446.0
68.0	4610.0
69.0	4886.0
70.0	4982.0
71.0	5445.0
72.0	5487.0
73.0	5764.0
74.0	5952.0
75.0	6026.0
76.0	6425.0
77.0	6701.0
78.0	7036.0
79.0	7300.0
80.0	7712.0
81.0	8077.0
82.0	8303.0
83.0	8806.0
84.0	9104.0
85.0	9567.0
86.0	10021.0
87.0	10463.0
88.0	10990.0
89.0	11534.0
90.0	11932.0
91.0	12484.0
92.0	13391.0
93.0	14134.0
94.0	14657.0
95.0	16082.0
96.0	16858.0
97.0	17673.0
98.0	18466.0
99.0	19554.0
100.0	21031.0
101.0	22140.0
102.0	23437.0
103.0	24708.0
104.0	25786.0
105.0	27561.0
106.0	29485.0
107.0	30831.0
108.0	32979.0
109.0	34745.0
110.0	36875.0
111.0	38961.0
112.0	41032.0
113.0	43411.0
114.0	45936.0
115.0	48250.0
116.0	51269.0
117.0	54346.0
118.0	57457.0
119.0	60583.0
120.0	63922.0
121.0	67729.0
122.0	70651.0
123.0	74174.0
124.0	77999.0
125.0	81826.0
126.0	85995.0
127.0	89937.0
128.0	94844.0
129.0	99196.0
130.0	103817.0
131.0	108314.0
132.0	112915.0
133.0	117551.0
134.0	122866.0
135.0	127693.0
136.0	132773.0
137.0	138217.0
138.0	143466.0
139.0	149062.0
140.0	154510.0
141.0	160596.0
142.0	166633.0
