#GC Content (%)	Sample
1.0	1.2090562515204874E-6
2.0	5.549766400421909E-7
3.0	1.8433152687115628E-6
4.0	5.767792937581342E-6
5.0	8.661599703515623E-6
6.0	1.147612409230102E-5
7.0	1.5083472252575261E-5
8.0	1.888902635572171E-5
9.0	2.6817264070610154E-5
10.0	4.7331579157883996E-5
11.0	1.0203641939061425E-4
12.0	2.2203029720545077E-4
13.0	4.257661858837966E-4
14.0	6.882106748408911E-4
15.0	9.194575483898997E-4
16.0	0.0011032142780267266
17.0	0.0012831852741546942
18.0	0.0014944529886621837
19.0	0.0017609408788538717
20.0	0.0020674663695057463
21.0	0.00239803424102802
22.0	0.0028782674200130993
23.0	0.0035243593319936456
24.0	0.004345268885587483
25.0	0.005953234417732582
26.0	0.005805570990292785
27.0	0.007526513909875044
28.0	0.008801850228692
29.0	0.010343079819872026
30.0	0.012376593511363762
31.0	0.015160019387712508
32.0	0.018559568437479523
33.0	0.02256251583913241
34.0	0.027260967894323883
35.0	0.032678768777981475
36.0	0.03851101828818486
37.0	0.043311189633258355
38.0	0.046496537520563375
39.0	0.04870681127190854
40.0	0.05026457123872411
41.0	0.05070970214522652
42.0	0.05014410166664639
43.0	0.048730259034950325
44.0	0.04659782075737107
45.0	0.04401813076970067
46.0	0.041628659025404725
47.0	0.040071473855823485
48.0	0.039006414221799665
49.0	0.03666209379129001
50.0	0.03272423722127636
51.0	0.03071353703380922
52.0	0.021286406517138253
53.0	0.019833438032319222
54.0	0.016272787192185674
55.0	0.013108072543533657
56.0	0.010545130958035956
57.0	0.008548879983804197
58.0	0.006999821257880717
59.0	0.005629960524908006
60.0	0.00449606396692466
61.0	0.003511198457386932
62.0	0.0027303859660361435
63.0	0.0020989612938281405
64.0	0.0016108196977224591
65.0	0.0012281633044133689
66.0	9.025505814629001E-4
67.0	6.63732240896173E-4
68.0	4.917291236716684E-4
69.0	3.6802879472512144E-4
70.0	2.8036230619274253E-4
71.0	2.1822474310230434E-4
72.0	1.580890600348755E-4
73.0	9.920207440754161E-5
74.0	4.988843582093552E-5
75.0	2.9572326676533888E-5
76.0	1.6371810881244634E-5
77.0	1.1416662309439357E-5
78.0	8.007520092037325E-6
79.0	6.302948983336311E-6
80.0	7.353440480559029E-6
81.0	3.5280657831253564E-6
82.0	3.3893216231148086E-6
83.0	2.5568566630515217E-6
84.0	3.032550925944829E-6
85.0	2.3388301258920907E-6
86.0	2.636139040200407E-6
87.0	2.5172154744770805E-6
88.0	2.933447954508723E-6
89.0	3.428962811689251E-6
90.0	4.3407101489014215E-6
91.0	6.144384229038541E-6
92.0	5.92635769187911E-6
93.0	5.192995703251929E-6
94.0	6.659719680506291E-6
95.0	5.886716503304669E-6
96.0	6.243487200474648E-6
97.0	1.149594468658824E-5
98.0	4.796583817507507E-6
99.0	1.666911979555295E-5
100.0	1.3795133623905888E-5
