#Mapping quality	mapping quality
0.0	1.17480889E8
1.0	2.1970498E7
2.0	1.9573841E7
3.0	1.7939839E7
4.0	1.671405E7
5.0	1.5869242E7
6.0	1.5336615E7
7.0	1.4567204E7
8.0	1.4348972E7
9.0	1.3981904E7
10.0	1.3932812E7
11.0	1.3537073E7
12.0	1.3545132E7
13.0	1.3711856E7
14.0	1.3342429E7
15.0	1.350946E7
16.0	1.3583488E7
17.0	1.3574147E7
18.0	1.3741773E7
19.0	1.3759209E7
20.0	1.4475651E7
21.0	1.4222202E7
22.0	1.442539E7
23.0	1.4553408E7
24.0	1.4859699E7
25.0	1.5081073E7
26.0	1.5284228E7
27.0	1.5605112E7
28.0	1.5722808E7
29.0	1.5954167E7
30.0	1.6427213E7
31.0	1.6583243E7
32.0	1.6916073E7
33.0	1.7300817E7
34.0	1.7607145E7
35.0	1.7983543E7
36.0	1.8502921E7
37.0	1.8910372E7
38.0	1.9384904E7
39.0	1.9883639E7
40.0	2.1581983E7
41.0	2.12605E7
42.0	2.2107657E7
43.0	2.2873805E7
44.0	2.3822613E7
45.0	2.5087222E7
46.0	2.6116384E7
47.0	2.7314142E7
48.0	2.8912821E7
49.0	3.0053893E7
50.0	3.2106218E7
51.0	3.3582021E7
52.0	3.5948408E7
53.0	3.7624393E7
54.0	4.0765955E7
55.0	4.4614552E7
56.0	5.0171747E7
57.0	5.4888053E7
58.0	6.5742555E7
59.0	1.05947717E8
60.0	4.14570431E8
