#Coverage	Number of genomic locations
0.0	2.67642244E8
1.0	4.8968228E7
2.0	3.7356473E7
3.0	2.5400362E7
4.0	2.2265949E7
5.0	1.8401609E7
6.0	1.6683931E7
7.0	1.4841686E7
8.0	1.379986E7
9.0	1.277289E7
10.0	1.2114643E7
11.0	1.1593194E7
12.0	1.1297743E7
13.0	1.113751E7
14.0	1.1150744E7
15.0	1.1315049E7
16.0	1.1634213E7
17.0	1.2050324E7
18.0	1.2549193E7
19.0	1.3145922E7
20.0	1.3750825E7
21.0	1.4390111E7
22.0	1.4971905E7
23.0	1.5580642E7
24.0	1.6102778E7
25.0	1.6573942E7
26.0	1.7026746E7
27.0	1.7441698E7
28.0	1.784505E7
29.0	1.8269061E7
30.0	1.8749115E7
31.0	1.9298355E7
32.0	1.9947331E7
33.0	2.0683879E7
34.0	2.1564922E7
35.0	2.252781E7
36.0	2.3582257E7
37.0	2.4751582E7
38.0	2.5996434E7
39.0	2.7293309E7
40.0	2.8590854E7
41.0	2.9878573E7
42.0	3.112627E7
43.0	3.2226348E7
44.0	3.3231434E7
45.0	3.405959E7
46.0	3.4656662E7
47.0	3.5067311E7
48.0	3.5235565E7
49.0	3.5185843E7
50.0	3.491664E7
51.0	3.4407088E7
52.0	3.367219E7
53.0	3.2735659E7
54.0	3.1614942E7
55.0	3.0353039E7
56.0	2.8963655E7
57.0	2.7493439E7
58.0	2.5979906E7
59.0	2.4423649E7
60.0	2.2843721E7
61.0	2.1285378E7
62.0	1.9748899E7
63.0	1.825659E7
64.0	1.6853433E7
65.0	1.5511066E7
66.0	1.4243903E7
67.0	1.3058497E7
68.0	1.1963734E7
69.0	1.0977039E7
70.0	1.0042451E7
71.0	9199475.0
72.0	8432529.0
73.0	7726596.0
74.0	7110280.0
75.0	6550664.0
76.0	6035907.0
77.0	5574201.0
78.0	5167073.0
79.0	4788152.0
80.0	4453749.0
81.0	4144382.0
82.0	3867709.0
83.0	3617790.0
84.0	3389992.0
85.0	3184970.0
86.0	2992963.0
87.0	2822005.0
88.0	2652049.0
89.0	2505137.0
90.0	2361002.0
91.0	2232364.0
92.0	2111496.0
93.0	2002336.0
94.0	1898134.0
95.0	1805172.0
96.0	1714679.0
97.0	1633725.0
98.0	1553337.0
99.0	1480775.0
100.0	1406398.0
101.0	1337111.0
102.0	1274338.0
103.0	1216182.0
104.0	1158588.0
105.0	1105771.0
106.0	1052705.0
107.0	1004093.0
108.0	958052.0
109.0	912488.0
110.0	871278.0
111.0	833380.0
112.0	797202.0
113.0	761141.0
114.0	726918.0
115.0	695788.0
116.0	665118.0
117.0	637485.0
118.0	610498.0
119.0	586869.0
120.0	562702.0
121.0	536986.0
122.0	513149.0
123.0	495168.0
124.0	473477.0
125.0	454981.0
126.0	436968.0
127.0	418937.0
128.0	401459.0
