#Duplication rate	Coverage
1.0	2.76969786E8
2.0	6.7261491E7
3.0	1.4143324E7
4.0	3494181.0
5.0	866483.0
6.0	301479.0
7.0	124003.0
8.0	71477.0
9.0	46960.0
10.0	35811.0
11.0	28422.0
12.0	23831.0
13.0	20394.0
14.0	17635.0
15.0	15156.0
16.0	13521.0
17.0	11955.0
18.0	10555.0
19.0	9119.0
20.0	8160.0
21.0	7046.0
22.0	6041.0
23.0	5334.0
24.0	4621.0
25.0	4092.0
26.0	3685.0
27.0	3098.0
28.0	2878.0
29.0	2525.0
30.0	2331.0
31.0	2189.0
32.0	2066.0
33.0	1876.0
34.0	1710.0
35.0	1606.0
36.0	1418.0
37.0	1309.0
38.0	1234.0
39.0	1087.0
40.0	966.0
41.0	843.0
42.0	802.0
43.0	721.0
44.0	600.0
45.0	574.0
46.0	482.0
47.0	491.0
48.0	351.0
49.0	332.0
50.0	4938.0
