#Coverage (X)	Coverage
1.0	86.19815539037346
2.0	83.67294911664052
3.0	81.74654083443485
4.0	80.43668838321918
5.0	79.28847215400586
6.0	78.33953321152299
7.0	77.47917193335446
8.0	76.71381202284321
9.0	76.00217726553413
10.0	75.34350156336862
11.0	74.71877051311222
12.0	74.12092968004382
13.0	73.53832474072229
14.0	72.96398273827607
15.0	72.38895828148767
16.0	71.80546090187256
17.0	71.20550479038033
18.0	70.58409055898697
19.0	69.93695052169818
20.0	69.25903820866934
21.0	68.54993210094977
22.0	67.80785912708367
23.0	67.03578404942856
24.0	66.23231746437699
25.0	65.40192523474335
26.0	64.54723589783521
27.0	63.669196246891396
28.0	62.76975824365886
29.0	61.849520079944256
30.0	60.90741640708091
31.0	59.940557185118855
32.0	58.94537461247756
33.0	57.91672547725813
34.0	56.85009384386652
35.0	55.7380283566906
36.0	54.57630841155671
37.0	53.36021247022139
38.0	52.08381647420505
39.0	50.743225627595606
40.0	49.33575719484505
41.0	47.86137662521973
42.0	46.320590628434466
43.0	44.715463069358705
44.0	43.05360640284626
45.0	41.33991920097442
46.0	39.583525435842226
47.0	37.79634170705706
48.0	35.987981524202496
49.0	34.17094477546564
50.0	32.35647210371239
51.0	30.55588176203871
