#Position (bp)	insert size	chromosomes
2586908.5	531837.4477475317	0.0
7760724.5	533091.861922545	533258.5910655439
1.29345405E7	421389.1251579905	0.0
1.81083565E7	347466.0709783346	0.0
2.32821725E7	286490.66286966397	533258.5910655439
2.84559885E7	220610.97523148547	0.0
3.36298045E7	225078.15592751722	0.0
3.88036205E7	234293.5274804436	533258.5910655439
4.39774365E7	188487.3164940712	0.0
4.91512525E7	199092.55466201872	0.0
5.43250685E7	202024.6130763546	533258.5910655439
5.94988845E7	166115.13232593483	0.0
6.46727005E7	160526.77748700132	0.0
6.98465165E7	99814.84437494235	533258.5910655439
7.50203325E7	120241.96862288869	0.0
8.01941485E7	115228.25175907151	0.0
8.53679645E7	140932.56098440182	533258.5910655439
9.05417805E7	127869.3596001878	0.0
9.57155965E7	124054.10721167405	0.0
1.008894125E8	177320.5268211728	533258.5910655439
1.060632285E8	199245.87245579652	0.0
1.112370445E8	202781.22688689324	0.0
1.164108605E8	103699.2892512833	533258.5910655439
1.215846765E8	93020.59745248768	0.0
1.267584925E8	131080.6965707542	0.0
1.319323085E8	132154.1438435651	533258.5910655439
1.371061245E8	156866.5044512639	0.0
1.422799405E8	95889.66216065768	0.0
1.474537565E8	112573.46723292972	533258.5910655439
1.526275725E8	156253.2151294249	0.0
1.578013885E8	108736.47822231574	0.0
1.629752045E8	133227.93077913017	533258.5910655439
1.681490205E8	94208.42524524445	0.0
1.733228365E8	111954.62556382263	0.0
1.784966525E8	65558.44261101699	533258.5910655439
1.836704685E8	80503.85877917528	0.0
1.888442845E8	77651.19532302549	0.0
1.940181005E8	65655.25986596906	533258.5910655439
1.991919165E8	76029.54976484909	0.0
2.043657325E8	95966.56582181063	0.0
2.095395485E8	144303.03363103795	533258.5910655439
2.147133645E8	94761.4084092446	0.0
2.198871805E8	79345.82437429411	0.0
2.250609965E8	58430.80954556483	533258.5910655439
2.302348125E8	69283.6676389086	0.0
2.354086285E8	69890.6433360776	0.0
2.405824445E8	55127.69883337958	533258.5910655439
2.457562605E8	39672.45176195118	0.0
2.509300765E8	46865.89870628853	0.0
2.561038925E8	35432.88516948768	533258.5910655439
2.612777085E8	24410.720548627793	0.0
2.664515245E8	34784.6101851099	0.0
2.716253405E8	22594.5666243207	533258.5910655439
2.767991565E8	29499.745846643385	0.0
2.819729725E8	24094.184460440523	0.0
2.871467885E8	24432.67581477617	533258.5910655439
2.923206045E8	36567.5104185426	0.0
2.974944205E8	35026.29771055803	0.0
3.026682365E8	20906.572920838153	533258.5910655439
3.078420525E8	19309.00287883138	0.0
3.130158685E8	25658.09231091717	0.0
3.181896845E8	20838.698898976283	533258.5910655439
3.233635005E8	12612.50236376455	0.0
3.285373165E8	14130.63862383902	0.0
3.337111325E8	14287.119254093124	533258.5910655439
3.388849485E8	17204.48723714632	0.0
3.440587645E8	14106.954562871326	0.0
3.492325805E8	13351.639002664708	533258.5910655439
3.544063965E8	11947.785562405552	0.0
3.595802125E8	13866.992649292597	0.0
3.647540285E8	14504.871034024118	533258.5910655439
3.699278445E8	19785.144503604086	0.0
3.751016605E8	17431.906645285508	0.0
3.802754765E8	14967.359180260324	533258.5910655439
3.854492925E8	14780.76743757437	0.0
3.906231085E8	16499.234525891654	0.0
3.957969245E8	9276.73857483966	533258.5910655439
4.009707405E8	14703.761584354208	0.0
