#Insert size (bp)	insert size
2.0	1683.0
3.0	1741.0
4.0	1910.0
5.0	1095.0
6.0	902.0
7.0	781.0
8.0	759.0
9.0	751.0
10.0	736.0
11.0	685.0
12.0	718.0
13.0	676.0
14.0	762.0
15.0	813.0
16.0	736.0
17.0	842.0
18.0	833.0
19.0	40694.0
20.0	26719.0
21.0	15046.0
22.0	8758.0
23.0	5811.0
24.0	4360.0
25.0	3566.0
26.0	3573.0
27.0	3055.0
28.0	2848.0
29.0	3054.0
30.0	2863.0
31.0	2678.0
32.0	2920.0
33.0	2667.0
34.0	2731.0
35.0	2857.0
36.0	2709.0
37.0	2978.0
38.0	3034.0
39.0	3000.0
40.0	3248.0
41.0	3275.0
42.0	3325.0
43.0	3432.0
44.0	3731.0
45.0	3634.0
46.0	3578.0
47.0	3899.0
48.0	3985.0
49.0	4121.0
50.0	4586.0
51.0	4710.0
52.0	4949.0
53.0	5280.0
54.0	5632.0
55.0	6140.0
56.0	6342.0
57.0	6592.0
58.0	7061.0
59.0	7610.0
60.0	7747.0
61.0	8253.0
62.0	8652.0
63.0	9138.0
64.0	9530.0
65.0	10610.0
66.0	10718.0
67.0	11341.0
68.0	12145.0
69.0	12755.0
70.0	13565.0
71.0	14738.0
72.0	15676.0
73.0	16690.0
74.0	17522.0
75.0	18975.0
76.0	20846.0
77.0	22155.0
78.0	23347.0
79.0	25264.0
80.0	26693.0
81.0	28430.0
82.0	30351.0
83.0	31970.0
84.0	33426.0
85.0	35754.0
86.0	38615.0
87.0	40723.0
88.0	43144.0
89.0	46110.0
90.0	49375.0
91.0	52038.0
92.0	55911.0
93.0	59076.0
94.0	63064.0
95.0	67373.0
96.0	71267.0
97.0	74875.0
98.0	81023.0
99.0	85671.0
100.0	91578.0
101.0	96997.0
102.0	103208.0
103.0	109374.0
104.0	115837.0
105.0	122731.0
106.0	130255.0
107.0	138003.0
108.0	146479.0
109.0	154379.0
110.0	163524.0
111.0	172122.0
112.0	181094.0
113.0	191230.0
114.0	201598.0
115.0	211079.0
116.0	222447.0
117.0	233072.0
118.0	243212.0
119.0	255780.0
120.0	267608.0
121.0	278114.0
122.0	289810.0
123.0	302646.0
124.0	314451.0
125.0	326593.0
126.0	340703.0
127.0	353066.0
128.0	366092.0
129.0	380552.0
130.0	392661.0
131.0	404819.0
132.0	419329.0
133.0	432239.0
134.0	446205.0
135.0	458881.0
136.0	472670.0
137.0	485782.0
138.0	497274.0
139.0	510004.0
140.0	523835.0
141.0	535712.0
142.0	549275.0
143.0	562804.0
144.0	576617.0
145.0	587792.0
146.0	599630.0
147.0	613473.0
148.0	628476.0
149.0	642330.0
150.0	655251.0
151.0	666402.0
152.0	679269.0
153.0	688648.0
154.0	696503.0
155.0	710139.0
156.0	720658.0
157.0	731114.0
158.0	743124.0
159.0	753343.0
160.0	762989.0
161.0	771121.0
162.0	780641.0
163.0	790670.0
164.0	802577.0
165.0	810617.0
166.0	820844.0
167.0	829205.0
168.0	838625.0
169.0	845992.0
170.0	856200.0
171.0	862404.0
172.0	870472.0
173.0	879962.0
174.0	887428.0
175.0	896381.0
176.0	902481.0
177.0	908486.0
178.0	915854.0
179.0	921218.0
180.0	928594.0
181.0	935181.0
182.0	941463.0
183.0	945408.0
184.0	951215.0
185.0	956785.0
186.0	960783.0
187.0	966902.0
188.0	969099.0
189.0	976273.0
190.0	977956.0
191.0	981090.0
192.0	985622.0
193.0	990178.0
194.0	992212.0
195.0	996400.0
196.0	999091.0
197.0	1001937.0
198.0	1002783.0
199.0	1006730.0
200.0	1008257.0
201.0	1012428.0
202.0	1011197.0
203.0	1012427.0
204.0	1012024.0
205.0	1015447.0
206.0	1015718.0
207.0	1018099.0
208.0	1020167.0
209.0	1015055.0
210.0	1014968.0
211.0	1018433.0
212.0	1017822.0
213.0	1017090.0
214.0	1017013.0
215.0	1015166.0
216.0	1013343.0
217.0	1012238.0
218.0	1014037.0
219.0	1009341.0
220.0	1007412.0
221.0	1007659.0
222.0	1005188.0
223.0	1001102.0
224.0	1002706.0
225.0	999074.0
226.0	996481.0
227.0	995396.0
228.0	991807.0
229.0	989734.0
230.0	987218.0
231.0	984822.0
232.0	980518.0
233.0	977235.0
234.0	974909.0
235.0	971117.0
236.0	967188.0
237.0	966302.0
238.0	960042.0
239.0	958767.0
240.0	954461.0
241.0	950525.0
242.0	945568.0
243.0	941459.0
244.0	935685.0
245.0	935391.0
246.0	930035.0
247.0	926187.0
248.0	923098.0
249.0	917431.0
250.0	914162.0
251.0	909911.0
252.0	905324.0
253.0	898537.0
254.0	896644.0
255.0	889547.0
256.0	883363.0
257.0	882433.0
258.0	878431.0
259.0	871861.0
260.0	867884.0
261.0	863638.0
262.0	858161.0
263.0	854521.0
264.0	845805.0
265.0	843015.0
266.0	841032.0
267.0	832174.0
268.0	829940.0
269.0	825982.0
270.0	820576.0
271.0	814686.0
272.0	810064.0
273.0	806361.0
274.0	800151.0
275.0	797986.0
276.0	790694.0
277.0	786691.0
278.0	782242.0
279.0	776504.0
280.0	770505.0
281.0	767588.0
282.0	763403.0
283.0	757440.0
284.0	752585.0
285.0	747766.0
286.0	741984.0
287.0	736016.0
288.0	731335.0
289.0	727048.0
290.0	725347.0
291.0	720755.0
292.0	711852.0
293.0	708341.0
294.0	704707.0
295.0	699246.0
296.0	695052.0
297.0	690956.0
298.0	684654.0
299.0	681337.0
300.0	676775.0
301.0	671208.0
302.0	667367.0
303.0	663565.0
304.0	659254.0
305.0	653336.0
306.0	650221.0
307.0	646697.0
308.0	640134.0
309.0	635258.0
310.0	630541.0
311.0	629031.0
312.0	623884.0
313.0	619151.0
314.0	613820.0
315.0	609974.0
316.0	605840.0
317.0	599454.0
318.0	598717.0
319.0	591601.0
320.0	587601.0
321.0	584288.0
322.0	582380.0
323.0	576611.0
324.0	572679.0
325.0	567469.0
326.0	562593.0
327.0	559590.0
328.0	555299.0
329.0	553188.0
330.0	546571.0
331.0	541035.0
332.0	538869.0
333.0	535366.0
334.0	531937.0
335.0	527223.0
336.0	523292.0
337.0	518909.0
338.0	515044.0
339.0	513600.0
340.0	506872.0
341.0	503913.0
342.0	500507.0
343.0	496896.0
344.0	491833.0
345.0	489707.0
346.0	485047.0
347.0	480693.0
348.0	478044.0
349.0	474075.0
350.0	471722.0
351.0	465699.0
352.0	463721.0
353.0	459066.0
354.0	455969.0
355.0	452050.0
356.0	448407.0
357.0	445167.0
358.0	441837.0
359.0	438340.0
360.0	433878.0
361.0	431162.0
362.0	427245.0
363.0	424693.0
364.0	420415.0
365.0	417583.0
366.0	414329.0
367.0	410650.0
368.0	408769.0
369.0	405362.0
370.0	401410.0
371.0	398932.0
372.0	395768.0
373.0	391397.0
374.0	388203.0
375.0	385739.0
376.0	381813.0
377.0	379692.0
378.0	376101.0
379.0	372381.0
380.0	367850.0
381.0	365354.0
382.0	361993.0
383.0	359264.0
384.0	353919.0
385.0	350612.0
386.0	346414.0
387.0	344178.0
388.0	340075.0
389.0	336815.0
390.0	335492.0
391.0	331210.0
392.0	329078.0
393.0	325779.0
394.0	324095.0
395.0	320734.0
396.0	317352.0
397.0	315572.0
398.0	312828.0
399.0	309508.0
400.0	306013.0
401.0	304775.0
402.0	301841.0
403.0	298978.0
404.0	296524.0
405.0	293148.0
406.0	290463.0
407.0	289013.0
408.0	284552.0
409.0	283884.0
410.0	280219.0
411.0	278356.0
412.0	273860.0
413.0	273983.0
414.0	270156.0
415.0	268485.0
416.0	264427.0
417.0	263487.0
418.0	260823.0
419.0	258277.0
420.0	256783.0
421.0	254141.0
422.0	251577.0
423.0	249796.0
424.0	246665.0
425.0	244246.0
426.0	241832.0
427.0	240241.0
428.0	238343.0
429.0	235470.0
430.0	233177.0
431.0	230989.0
432.0	229118.0
433.0	227364.0
434.0	225281.0
435.0	223284.0
436.0	221741.0
437.0	219016.0
438.0	217584.0
439.0	215374.0
440.0	213225.0
441.0	211422.0
442.0	209374.0
443.0	207721.0
444.0	206001.0
445.0	203242.0
446.0	201792.0
447.0	199833.0
448.0	198025.0
449.0	195841.0
450.0	194106.0
451.0	191811.0
452.0	189982.0
