#Mapping quality	mapping quality
0.0	1.96008644E8
1.0	3.2484935E7
2.0	2.7093363E7
3.0	2.4303301E7
4.0	2.1854458E7
5.0	2.0007256E7
6.0	1.905383E7
7.0	1.7731536E7
8.0	1.6638374E7
9.0	1.6218157E7
10.0	1.5549812E7
11.0	1.4765608E7
12.0	1.4521048E7
13.0	1.439616E7
14.0	1.3384273E7
15.0	1.3429511E7
16.0	1.3141449E7
17.0	1.2722841E7
18.0	1.2742184E7
19.0	1.2520242E7
20.0	1.314886E7
21.0	1.2499507E7
22.0	1.2458859E7
23.0	1.2187495E7
24.0	1.2305518E7
25.0	1.2238164E7
26.0	1.203826E7
27.0	1.253717E7
28.0	1.2051186E7
29.0	1.2105334E7
30.0	1.2422064E7
31.0	1.2401616E7
32.0	1.2449159E7
33.0	1.2753261E7
34.0	1.2748096E7
35.0	1.2945209E7
36.0	1.3218469E7
37.0	1.350604E7
38.0	1.3732023E7
39.0	1.4241229E7
40.0	1.6463786E7
41.0	1.5074563E7
42.0	1.5697678E7
43.0	1.6341193E7
44.0	1.7060585E7
45.0	1.7960803E7
46.0	1.8866923E7
47.0	1.9940367E7
48.0	2.1080465E7
49.0	2.2275064E7
50.0	2.3671131E7
51.0	2.504906E7
52.0	2.6691588E7
53.0	2.8446481E7
54.0	3.0659043E7
55.0	3.3419538E7
56.0	3.7379092E7
57.0	4.4572624E7
58.0	6.0309114E7
59.0	1.08809895E8
60.0	2.89211608E8
