"","pgID","interpChr","interpOrd","og","repGene","genome","chr","start","end","hap1","salicifolius","hap2","region"
"1",23,"X",14,18107,"NChap1_final_00000014","hap1","X",528938,530259,"NChap1_final_00000014","R_salicifolius_00022238","","PAR1"
"2",534,"X",428,17856,"NChap1_final_00000428","hap1","X",5709723,5721102,"NChap1_final_00000428","R_salicifolius_00022280","","PAR1"
"3",1209,"X",963,17825,"NChap1_final_00000963","hap1","X",14886818,14889494,"NChap1_final_00035347|NChap1_final_00000963","R_salicifolius_00023397","","PAR1"
"4",1376,"X",1060,16968,"NChap1_final_00001060","hap1","X",16539327,16542440,"NChap1_final_00001060","R_salicifolius_00023573","","PAR1"
"5",2926,"X",2270,17239,"NChap1_final_00002270","hap1","X",56217782,56220551,"NChap1_final_00002270","R_salicifolius_00023716","","PAR1"
"6",3103,"X",2390,17281,"NChap1_final_00002390","hap1","X",60564553,60567355,"NChap1_final_00002390","R_salicifolius_00023836","","PAR1"
"7",3524,"X",2673,17354,"NChap1_final_00002673","hap1","X",76940780,76942092,"NChap1_final_00002673","R_salicifolius_00024019","","OldX"
"8",3630,"X",2737,17363,"NChap1_final_00002737","hap1","X",82479614,82480609,"NChap1_final_00002737","R_salicifolius_00024052","","OldX"
"9",3719,"X",2811,17366,"NChap1_final_00002811","hap1","X",85349711,85351959,"NChap1_final_00002811","R_salicifolius_00021880","","OldX"
"10",3774,"X",2851,17368,"NChap1_final_00002851","hap1","X",88209082,88212618,"NChap1_final_00002851","R_salicifolius_00021433","","OldX"
"11",3809,"X",2870,17375,"NChap1_final_00002870","hap1","X",89212193,89214406,"NChap1_final_00002870","R_salicifolius_00021447","","OldX"
"12",4111,"X",3072,17441,"NChap1_final_00003072","hap1","X",98625240,98627757,"NChap1_final_00003072","R_salicifolius_00021572","","OldX"
"13",4164,"X",3123,17513,"NChap1_final_00003123","hap1","X",99916442,99918417,"NChap1_final_00003123","R_salicifolius_00019114","","OldX"
"14",4165,"X",3124,17514,"NChap1_final_00003124","hap1","X",99933041,99936120,"NChap1_final_00003124","R_salicifolius_00019115","","OldX"
"15",4169,"X",3128,17448,"NChap1_final_00003128","hap1","X",99998462,100001198,"NChap1_final_00003128","R_salicifolius_00019119","","OldX"
"16",4177,"X",3131,17483,"NChap1_final_00003131","hap1","X",100125170,100127755,"NChap1_final_00003131","R_salicifolius_00019128","","OldX"
"17",4183,"X",3135,17470,"NChap1_final_00003135","hap1","X",100281692,100284640,"NChap1_final_00003135","R_salicifolius_00019133","","OldX"
"18",4184,"X",3136,17478,"NChap1_final_00003136","hap1","X",100301059,100302546,"NChap1_final_00003136","R_salicifolius_00019134","","OldX"
"19",4191,"X",3140,17480,"NChap1_final_00003140","hap1","X",100400229,100405342,"NChap1_final_00003140","R_salicifolius_00019140","","OldX"
