"","pgID","interpChr","interpOrd","og","repGene","genome","chr","start","end","hap1","salicifolius","hap2","region"
"1",3,"X",4,14439,"NChap1_final_00000004","hap1","X",403065,420694,"NChap1_final_00000004","R_salicifolius_00022220","NChap2_final_00025377","PAR1"
"2",4,"X",5,14570,"NChap1_final_00000005","hap1","X",471220,478043,"NChap1_final_00000005","R_salicifolius_00022221","NChap2_final_00025375","PAR1"
"3",10,"X",8,14492,"NChap1_final_00000008","hap1","X",484777,486768,"NChap1_final_00000008","R_salicifolius_00022226","NChap2_final_00025373","PAR1"
"4",15,"X",10,14600,"NChap1_final_00000010","hap1","X",509516,515085,"NChap1_final_00000010","R_salicifolius_00022230","NChap2_final_00025371","PAR1"
"5",22,"X",13,14914,"NChap1_final_00000013","hap1","X",523470,528010,"NChap1_final_00000013","R_salicifolius_00022237","NChap2_final_00025370","PAR1"
"6",35,"X",23,14797,"NChap1_final_00000023","hap1","X",577368,579928,"NChap1_final_00000023","R_salicifolius_00022244","NChap2_final_00025367","PAR1"
"7",36,"X",24,14941,"NChap1_final_00000024","hap1","X",580671,582032,"NChap1_final_00000024","R_salicifolius_00022245","NChap2_final_00025366","PAR1"
"8",42,"X",28,15187,"NChap1_final_00000028","hap1","X",663229,664660,"NChap1_final_00000028","R_salicifolius_00022250","NChap2_final_00025363","PAR1"
"9",52,"X",36,16213,"NChap1_final_00000036","hap1","X",716579,719046,"NChap1_final_00000036","R_salicifolius_00022255","NChap2_final_00025359","PAR1"
"10",54,"X",38,16266,"NChap1_final_00000038","hap1","X",749803,752387,"NChap1_final_00000038","R_salicifolius_00022256","NChap2_final_00025358","PAR1"
"11",55,"X",39,16325,"NChap1_final_00000039","hap1","X",755298,764434,"NChap1_final_00000039","R_salicifolius_00022257","NChap2_final_00025357","PAR1"
"12",62,"X",46,15572,"NChap1_final_00000046","hap1","X",828280,831280,"NChap1_final_00000046","R_salicifolius_00022259","NChap2_final_00025356","PAR1"
"13",63,"X",47,15812,"NChap1_final_00000047","hap1","X",831561,833767,"NChap1_final_00000047","R_salicifolius_00022260","NChap2_final_00025355","PAR1"
"14",68,"X",49,15667,"NChap1_final_00000049","hap1","X",859770,861861,"NChap1_final_00000049","R_salicifolius_00022264","NChap2_final_00025353","PAR1"
"15",72,"X",57,16714,"NChap1_final_00000057","hap1","X",928011,934140,"NChap1_final_00000057","R_salicifolius_00022266","NChap2_final_00025351","PAR1"
"16",73,"X",58,16773,"NChap1_final_00000058","hap1","X",934310,940217,"NChap1_final_00000058","R_salicifolius_00022267","NChap2_final_00025350","PAR1"
"17",77,"X",62,67,"NChap1_final_00000062","hap1","X",977722,981370,"NChap1_final_00000062","R_salicifolius_00022379","NChap2_final_00025338","PAR1"
"18",79,"X",63,686,"NChap1_final_00000063","hap1","X",986784,989860,"NChap1_final_00000063","R_salicifolius_00022380","NChap2_final_00025340","PAR1"
"19",91,"X",75,1362,"NChap1_final_00000075","hap1","X",1062848,1066878,"NChap1_final_00000075","R_salicifolius_00022270","NChap2_final_00025349","PAR1"
"20",93,"X",77,250,"NChap1_final_00000077","hap1","X",1119229,1121809,"NChap1_final_00000077","R_salicifolius_00022378","NChap2_final_00025335","PAR1"
"21",94,"X",78,312,"NChap1_final_00000078","hap1","X",1127081,1130632,"NChap1_final_00000078","R_salicifolius_00022377","NChap2_final_00025334","PAR1"
"22",98,"X",80,374,"NChap1_final_00000080","hap1","X",1164873,1169503,"NChap1_final_00000080","R_salicifolius_00022375","NChap2_final_00025332","PAR1"
"23",99,"X",81,620,"NChap1_final_00000081","hap1","X",1169596,1176792,"NChap1_final_00000081","R_salicifolius_00022374","NChap2_final_00025331","PAR1"
"24",102,"X",84,1616,"NChap1_final_00000084","hap1","X",1186656,1189847,"NChap1_final_00000084","R_salicifolius_00022372","NChap2_final_00025330","PAR1"
"25",113,"X",93,1943,"NChap1_final_00000093","hap1","X",1371905,1379112,"NChap1_final_00000093","R_salicifolius_00022371","NChap2_final_00025327","PAR1"
"26",115,"X",95,2067,"NChap1_final_00000095","hap1","X",1382567,1384113,"NChap1_final_00000095","R_salicifolius_00022370","NChap2_final_00025326","PAR1"
"27",116,"X",96,2694,"NChap1_final_00000096","hap1","X",1390868,1394726,"NChap1_final_00000096","R_salicifolius_00022369","NChap2_final_00025325","PAR1"
"28",118,"X",98,2761,"NChap1_final_00000098","hap1","X",1407212,1410230,"NChap1_final_00000098","R_salicifolius_00022368","NChap2_final_00025324","PAR1"
"29",122,"X",102,2372,"NChap1_final_00000102","hap1","X",1456942,1459467,"NChap1_final_00000102","R_salicifolius_00022366","NChap2_final_00025322","PAR1"
"30",123,"X",103,2880,"NChap1_final_00000103","hap1","X",1463189,1465551,"NChap1_final_00000103","R_salicifolius_00022365","NChap2_final_00025321","PAR1"
"31",124,"X",104,2446,"NChap1_final_00000104","hap1","X",1473225,1474986,"NChap1_final_00000104","R_salicifolius_00022364","NChap2_final_00025320","PAR1"
"32",138,"X",117,3755,"NChap1_final_00000117","hap1","X",1557396,1563250,"NChap1_final_00000117","R_salicifolius_00022387","NChap2_final_00025313","PAR1"
"33",139,"X",118,3788,"NChap1_final_00000118","hap1","X",1573376,1575462,"NChap1_final_00000118","R_salicifolius_00022388","NChap2_final_00025312","PAR1"
"34",147,"X",120,2999,"NChap1_final_00000120","hap1","X",1599454,1600881,"NChap1_final_00000120","R_salicifolius_00022394","NChap2_final_00025308","PAR1"
"35",150,"X",123,3268,"NChap1_final_00000123","hap1","X",1614588,1626333,"NChap1_final_00000123","R_salicifolius_00022396","NChap2_final_00025306","PAR1"
"36",165,"X",133,4009,"NChap1_final_00000133","hap1","X",1788686,1793015,"NChap1_final_00000133","R_salicifolius_00022401","NChap2_final_00025296","PAR1"
"37",170,"X",138,4192,"NChap1_final_00000138","hap1","X",1809026,1811680,"NChap1_final_00000138","R_salicifolius_00022403","NChap2_final_00025294","PAR1"
"38",171,"X",139,4323,"NChap1_final_00000139","hap1","X",1813464,1817028,"NChap1_final_00000139","R_salicifolius_00022402","NChap2_final_00025293","PAR1"
"39",173,"X",141,5003,"NChap1_final_00000141","hap1","X",1904812,1916235,"NChap1_final_00000141","R_salicifolius_00022404","NChap2_final_00025291","PAR1"
"40",180,"X",145,5376,"NChap1_final_00000145","hap1","X",1950344,1955307,"NChap1_final_00000145","R_salicifolius_00022405","NChap2_final_00025285","PAR1"
"41",181,"X",146,5420,"NChap1_final_00000146","hap1","X",1959632,1964474,"NChap1_final_00000146","R_salicifolius_00022406","NChap2_final_00025284","PAR1"
"42",182,"X",147,5186,"NChap1_final_00000147","hap1","X",1966149,1969395,"NChap1_final_00000147","R_salicifolius_00022407","NChap2_final_00025283","PAR1"
"43",183,"X",148,5246,"NChap1_final_00000148","hap1","X",1971488,1976353,"NChap1_final_00000148","R_salicifolius_00022408","NChap2_final_00025282","PAR1"
"44",185,"X",149,5299,"NChap1_final_00000149","hap1","X",1983614,1984774,"NChap1_final_00000149","R_salicifolius_00022410","NChap2_final_00025281","PAR1"
"45",186,"X",150,4449,"NChap1_final_00000150","hap1","X",1997147,2005890,"NChap1_final_00000150","R_salicifolius_00022411","NChap2_final_00025280","PAR1"
"46",187,"X",151,4569,"NChap1_final_00000151","hap1","X",2006737,2010100,"NChap1_final_00000151","R_salicifolius_00022412","NChap2_final_00025279","PAR1"
"47",189,"X",153,4687,"NChap1_final_00000153","hap1","X",2016725,2019452,"NChap1_final_00000153","R_salicifolius_00022414","NChap2_final_00025277","PAR1"
"48",192,"X",155,4750,"NChap1_final_00000155","hap1","X",2044132,2048707,"NChap1_final_00000155","R_salicifolius_00022417","NChap2_final_00025274","PAR1"
"49",193,"X",156,4805,"NChap1_final_00000156","hap1","X",2049351,2050783,"NChap1_final_00000156","R_salicifolius_00022418","NChap2_final_00025273","PAR1"
"50",194,"X",157,4848,"NChap1_final_00000157","hap1","X",2051774,2055664,"NChap1_final_00000157","R_salicifolius_00022419","NChap2_final_00025272","PAR1"
"51",196,"X",159,4953,"NChap1_final_00000159","hap1","X",2070208,2081489,"NChap1_final_00000159","R_salicifolius_00022421","NChap2_final_00025271","PAR1"
"52",200,"X",162,5901,"NChap1_final_00000162","hap1","X",2084981,2087375,"NChap1_final_00000162","R_salicifolius_00022423","NChap2_final_00025270","PAR1"
"53",210,"X",174,6272,"NChap1_final_00000174","hap1","X",2164895,2166043,"NChap1_final_00000174","R_salicifolius_00022425","NChap2_final_00025264","PAR1"
"54",211,"X",175,5847,"NChap1_final_00000175","hap1","X",2198300,2199485,"NChap1_final_00000175","R_salicifolius_00022426","NChap2_final_00025263","PAR1"
"55",215,"X",178,5462,"NChap1_final_00000178","hap1","X",2248633,2255287,"NChap1_final_00000178","R_salicifolius_00022427","NChap2_final_00025261","PAR1"
"56",221,"X",183,5799,"NChap1_final_00000183","hap1","X",2275711,2286353,"NChap1_final_00000183","R_salicifolius_00022430","NChap2_final_00025259","PAR1"
"57",228,"X",188,7505,"NChap1_final_00000188","hap1","X",2311082,2322142,"NChap1_final_00000188","R_salicifolius_00022434","NChap2_final_00025256","PAR1"
"58",230,"X",190,7571,"NChap1_final_00000190","hap1","X",2333841,2340873,"NChap1_final_00000190","R_salicifolius_00022435","NChap2_final_00025255","PAR1"
"59",235,"X",197,6962,"NChap1_final_00000197","hap1","X",2456383,2460019,"NChap1_final_00000197","R_salicifolius_00022438","NChap2_final_00025252","PAR1"
"60",236,"X",198,6800,"NChap1_final_00000198","hap1","X",2468559,2471186,"NChap1_final_00000198","R_salicifolius_00022439","NChap2_final_00025251","PAR1"
"61",239,"X",199,7005,"NChap1_final_00000199","hap1","X",2497480,2500934,"NChap1_final_00000199","R_salicifolius_00022440","NChap2_final_00025248","PAR1"
"62",240,"X",200,7133,"NChap1_final_00000200","hap1","X",2501859,2504761,"NChap1_final_00000200","R_salicifolius_00022441","NChap2_final_00025247","PAR1"
"63",244,"X",202,7196,"NChap1_final_00000202","hap1","X",2565992,2566935,"NChap1_final_00000202","R_salicifolius_00022443","NChap2_final_00025244","PAR1"
"64",246,"X",204,8001,"NChap1_final_00000204","hap1","X",2634843,2637760,"NChap1_final_00000204","R_salicifolius_00022444","NChap2_final_00025241","PAR1"
"65",247,"X",205,7906,"NChap1_final_00000205","hap1","X",2642779,2649631,"NChap1_final_00000205","R_salicifolius_00022445","NChap2_final_00025240","PAR1"
"66",248,"X",206,8052,"NChap1_final_00000206","hap1","X",2650050,2652250,"NChap1_final_00000206","R_salicifolius_00022446","NChap2_final_00025239","PAR1"
"67",249,"X",207,8100,"NChap1_final_00000207","hap1","X",2653056,2657938,"NChap1_final_00000207","R_salicifolius_00022447","NChap2_final_00025238","PAR1"
"68",251,"X",208,8149,"NChap1_final_00000208","hap1","X",2660310,2662353,"NChap1_final_00000208","R_salicifolius_00022449","NChap2_final_00025237","PAR1"
"69",253,"X",210,9440,"NChap1_final_00000210","hap1","X",2699535,2702454,"NChap1_final_00000210","R_salicifolius_00022451","NChap2_final_00025234","PAR1"
"70",254,"X",211,9443,"NChap1_final_00000211","hap1","X",2709181,2710849,"NChap1_final_00000211","R_salicifolius_00022450","NChap2_final_00025236","PAR1"
"71",259,"X",214,9450,"NChap1_final_00000214","hap1","X",2759555,2762655,"NChap1_final_00000214","R_salicifolius_00022453","NChap2_final_00025232","PAR1"
"72",260,"X",215,9439,"NChap1_final_00000215","hap1","X",2766060,2768296,"NChap1_final_00000215","R_salicifolius_00022454","NChap2_final_00025231","PAR1"
"73",263,"X",217,9410,"NChap1_final_00000217","hap1","X",2803385,2806695,"NChap1_final_00000217","R_salicifolius_00022456","NChap2_final_00025229","PAR1"
"74",267,"X",218,9422,"NChap1_final_00000218","hap1","X",2833666,2837975,"NChap1_final_00000218","R_salicifolius_00022461","NChap2_final_00025228","PAR1"
"75",268,"X",219,9414,"NChap1_final_00000219","hap1","X",2858642,2861567,"NChap1_final_00000219","R_salicifolius_00022462","NChap2_final_00025227","PAR1"
"76",269,"X",220,9419,"NChap1_final_00000220","hap1","X",2862603,2864656,"NChap1_final_00000220","R_salicifolius_00022463","NChap2_final_00025226","PAR1"
"77",272,"X",222,9431,"NChap1_final_00000222","hap1","X",2873739,2883676,"NChap1_final_00000222","R_salicifolius_00022466","NChap2_final_00025224","PAR1"
"78",276,"X",225,10769,"NChap1_final_00000225","hap1","X",2908238,2909180,"NChap1_final_00000225","R_salicifolius_00022468","NChap2_final_00025221","PAR1"
"79",279,"X",227,10514,"NChap1_final_00000227","hap1","X",2912896,2916984,"NChap1_final_00000227","R_salicifolius_00022467","NChap2_final_00025220","PAR1"
"80",281,"X",228,10569,"NChap1_final_00000228","hap1","X",2918501,2921302,"NChap1_final_00000228","R_salicifolius_00022470","NChap2_final_00025219","PAR1"
"81",303,"X",241,9403,"NChap1_final_00000241","hap1","X",3044471,3045622,"NChap1_final_00000241","R_salicifolius_00022507","NChap2_final_00025211","PAR1"
"82",305,"X",243,9396,"NChap1_final_00000243","hap1","X",3050908,3052819,"NChap1_final_00000243","R_salicifolius_00022482","NChap2_final_00025210","PAR1"
"83",309,"X",246,8502,"NChap1_final_00000246","hap1","X",3103904,3105887,"NChap1_final_00000246","R_salicifolius_00022485","NChap2_final_00025208","PAR1"
"84",310,"X",247,8646,"NChap1_final_00000247","hap1","X",3113726,3116754,"NChap1_final_00000247","R_salicifolius_00022486","NChap2_final_00025207","PAR1"
"85",312,"X",248,8554,"NChap1_final_00000248","hap1","X",3119758,3122627,"NChap1_final_00000248","R_salicifolius_00022488","NChap2_final_00025206","PAR1"
"86",320,"X",255,12075,"NChap1_final_00000255","hap1","X",3192078,3194332,"NChap1_final_00000255","R_salicifolius_00022490","NChap2_final_00025203","PAR1"
"87",322,"X",257,11727,"NChap1_final_00000257","hap1","X",3202645,3204451,"NChap1_final_00000257","R_salicifolius_00022491","NChap2_final_00025202","PAR1"
"88",325,"X",259,11973,"NChap1_final_00000259","hap1","X",3225033,3229155,"NChap1_final_00000259","R_salicifolius_00022493","NChap2_final_00025200","PAR1"
"89",327,"X",261,11827,"NChap1_final_00000261","hap1","X",3269012,3272275,"NChap1_final_00000261","R_salicifolius_00022495","NChap2_final_00025198","PAR1"
"90",333,"X",271,14288,"NChap1_final_00000271","hap1","X",3350020,3350883,"NChap1_final_00000271","R_salicifolius_00022497","NChap2_final_00025195","PAR1"
"91",337,"X",276,11239,"NChap1_final_00000276","hap1","X",3409419,3414179,"NChap1_final_00000276","R_salicifolius_00022503","NChap2_final_00025193","PAR1"
"92",338,"X",277,11117,"NChap1_final_00000277","hap1","X",3417466,3420519,"NChap1_final_00000277","R_salicifolius_00022504","NChap2_final_00025192","PAR1"
"93",339,"X",278,11283,"NChap1_final_00000278","hap1","X",3419251,3421509,"NChap1_final_00000278","R_salicifolius_00022505","NChap2_final_00025191","PAR1"
"94",348,"X",289,13365,"NChap1_final_00000289","hap1","X",3558436,3562768,"NChap1_final_00000289","R_salicifolius_00022511","NChap2_final_00025187","PAR1"
"95",353,"X",293,8294,"NChap1_final_00000293","hap1","X",3678314,3681681,"NChap1_final_00000293","R_salicifolius_00022514","NChap2_final_00025186","PAR1"
"96",356,"X",294,9025,"NChap1_final_00000294","hap1","X",3699174,3699811,"NChap1_final_00000294","R_salicifolius_00022516","NChap2_final_00025184","PAR1"
"97",357,"X",295,9238,"NChap1_final_00000295","hap1","X",3702909,3704923,"NChap1_final_00000295","R_salicifolius_00023679","NChap2_final_00025183","PAR1"
"98",358,"X",296,9093,"NChap1_final_00000296","hap1","X",3714246,3715009,"NChap1_final_00000296","R_salicifolius_00023680","NChap2_final_00025182","PAR1"
"99",374,"X",314,14315,"NChap1_final_00000314","hap1","X",4060896,4067193,"NChap1_final_00000314","R_salicifolius_00023544","NChap2_final_00025149","PAR1"
"100",375,"X",315,14318,"NChap1_final_00000315","hap1","X",4068590,4073425,"NChap1_final_00000315","R_salicifolius_00023514","NChap2_final_00025150","PAR1"
"101",376,"X",316,14302,"NChap1_final_00000316","hap1","X",4076944,4078668,"NChap1_final_00000316","R_salicifolius_00023533","NChap2_final_00025151","PAR1"
"102",377,"X",317,14320,"NChap1_final_00000317","hap1","X",4078602,4085012,"NChap1_final_00000317","R_salicifolius_00023532","NChap2_final_00025152","PAR1"
"103",387,"X",327,15016,"NChap1_final_00000327","hap1","X",4226459,4228092,"NChap1_final_00000327","R_salicifolius_00023537","NChap2_final_00025160","PAR1"
"104",388,"X",328,15052,"NChap1_final_00000328","hap1","X",4228364,4232513,"NChap1_final_00000328","R_salicifolius_00023540","NChap2_final_00025010|NChap2_final_00025161","PAR1"
"105",390,"X",330,15061,"NChap1_final_00000330","hap1","X",4249308,4259633,"NChap1_final_00000330","R_salicifolius_00023543","NChap2_final_00025163","PAR1"
"106",392,"X",332,15027,"NChap1_final_00000332","hap1","X",4278561,4281718,"NChap1_final_00000332","R_salicifolius_00023727","NChap2_final_00025164","PAR1"
"107",405,"X",335,14336,"NChap1_final_00000335","hap1","X",4306781,4313412,"NChap1_final_00000335","R_salicifolius_00023707","NChap2_final_00025166","PAR1"
"108",409,"X",336,14360,"NChap1_final_00000336","hap1","X",4315883,4320809,"NChap1_final_00000336","R_salicifolius_00023708","NChap2_final_00025167","PAR1"
"109",412,"X",337,14339,"NChap1_final_00000337","hap1","X",4320781,4326693,"NChap1_final_00000337","R_salicifolius_00023709","NChap2_final_00025168","PAR1"
"110",424,"X",341,14352,"NChap1_final_00000341","hap1","X",4370492,4375066,"NChap1_final_00000341","R_salicifolius_00023697","NChap2_final_00025171","PAR1"
"111",437,"X",345,14848,"NChap1_final_00000345","hap1","X",4425670,4427452,"NChap1_final_00000345","R_salicifolius_00023688","NChap2_final_00025174","PAR1"
"112",439,"X",347,14838,"NChap1_final_00000347","hap1","X",4429096,4430909,"NChap1_final_00000347","R_salicifolius_00023687","NChap2_final_00025175","PAR1"
"113",441,"X",348,14842,"NChap1_final_00000348","hap1","X",4433765,4444921,"NChap1_final_00000348","R_salicifolius_00023685","NChap2_final_00025176","PAR1"
"114",444,"X",349,14852,"NChap1_final_00000349","hap1","X",4446183,4447429,"NChap1_final_00000349","R_salicifolius_00023684","NChap2_final_00025179","PAR1"
"115",446,"X",353,12450,"NChap1_final_00000353","hap1","X",4494878,4499280,"NChap1_final_00000353","R_salicifolius_00023682","NChap2_final_00025180","PAR1"
"116",447,"X",354,12497,"NChap1_final_00000354","hap1","X",4517652,4522709,"NChap1_final_00000354","R_salicifolius_00023681","NChap2_final_00025181","PAR1"
"117",483,"X",384,14507,"NChap1_final_00000384","hap1","X",5089067,5090589,"NChap1_final_00000384","R_salicifolius_00022359","NChap2_final_00025117","PAR1"
"118",484,"X",385,14510,"NChap1_final_00000385","hap1","X",5091798,5096288,"NChap1_final_00000385","R_salicifolius_00022358","NChap2_final_00025116","PAR1"
"119",492,"X",390,12622,"NChap1_final_00000390","hap1","X",5219700,5223946,"NChap1_final_00000390","R_salicifolius_00022355","NChap2_final_00025112","PAR1"
"120",493,"X",391,12948,"NChap1_final_00000391","hap1","X",5224498,5229338,"NChap1_final_00000391","R_salicifolius_00022354","NChap2_final_00025111","PAR1"
"121",494,"X",392,12670,"NChap1_final_00000392","hap1","X",5252667,5254307,"NChap1_final_00000392","R_salicifolius_00022353","NChap2_final_00025110","PAR1"
"122",495,"X",393,12727,"NChap1_final_00000393","hap1","X",5255979,5259360,"NChap1_final_00000393","R_salicifolius_00022350","NChap2_final_00025108","PAR1"
"123",496,"X",394,12772,"NChap1_final_00000394","hap1","X",5260170,5262095,"NChap1_final_00000394","R_salicifolius_00022349","NChap2_final_00025107","PAR1"
"124",497,"X",395,12827,"NChap1_final_00000395","hap1","X",5263070,5267146,"NChap1_final_00000395","R_salicifolius_00022348","NChap2_final_00025106","PAR1"
"125",501,"X",397,10965,"NChap1_final_00000397","hap1","X",5297430,5298989,"NChap1_final_00000397","R_salicifolius_00022345","NChap2_final_00025105","PAR1"
"126",507,"X",403,14781,"NChap1_final_00000403","hap1","X",5400448,5405842,"NChap1_final_00000403","R_salicifolius_00022344","NChap2_final_00025101","PAR1"
"127",511,"X",406,14760,"NChap1_final_00000406","hap1","X",5434787,5437598,"NChap1_final_00000406","R_salicifolius_00022341","NChap2_final_00025098","PAR1"
"128",512,"X",407,14798,"NChap1_final_00000407","hap1","X",5437883,5440260,"NChap1_final_00000407","R_salicifolius_00022340","NChap2_final_00025097","PAR1"
"129",513,"X",408,14765,"NChap1_final_00000408","hap1","X",5442119,5446014,"NChap1_final_00000408","R_salicifolius_00022339","NChap2_final_00025096","PAR1"
"130",514,"X",409,14768,"NChap1_final_00000409","hap1","X",5447196,5448746,"NChap1_final_00000409","R_salicifolius_00022338","NChap2_final_00025095","PAR1"
"131",515,"X",410,14801,"NChap1_final_00000410","hap1","X",5449340,5452441,"NChap1_final_00000410","R_salicifolius_00022337","NChap2_final_00025094","PAR1"
"132",518,"X",412,13703,"NChap1_final_00000412","hap1","X",5493872,5494770,"NChap1_final_00000412","R_salicifolius_00022272","NChap2_final_00025092","PAR1"
"133",519,"X",413,13767,"NChap1_final_00000413","hap1","X",5499142,5502597,"NChap1_final_00000413","R_salicifolius_00022273","NChap2_final_00025091","PAR1"
"134",521,"X",414,13829,"NChap1_final_00000414","hap1","X",5520893,5524975,"NChap1_final_00000414","R_salicifolius_00022275","NChap2_final_00025090","PAR1"
"135",530,"X",424,14397,"NChap1_final_00000424","hap1","X",5692765,5694518,"NChap1_final_00000424","R_salicifolius_00022276","NChap2_final_00025087","PAR1"
"136",531,"X",425,14400,"NChap1_final_00000425","hap1","X",5695119,5700237,"NChap1_final_00000425","R_salicifolius_00022277","NChap2_final_00025086","PAR1"
"137",532,"X",426,14384,"NChap1_final_00000426","hap1","X",5703389,5706330,"NChap1_final_00000426","R_salicifolius_00022278","NChap2_final_00025085","PAR1"
"138",533,"X",427,14390,"NChap1_final_00000427","hap1","X",5706779,5707738,"NChap1_final_00000427","R_salicifolius_00022279","NChap2_final_00025084","PAR1"
"139",537,"X",430,14592,"NChap1_final_00000430","hap1","X",5790813,5793124,"NChap1_final_00000430","R_salicifolius_00022281","NChap2_final_00025082","PAR1"
"140",538,"X",431,14594,"NChap1_final_00000431","hap1","X",5794189,5797173,"NChap1_final_00000431","R_salicifolius_00022282","NChap2_final_00025081","PAR1"
